1 	0.000	0.686621	-0.058129	-0.095462
2 	0.005	0.686554	-0.058467	-0.094481
3 	0.010	0.686461	-0.058781	-0.093520
4 	0.015	0.686340	-0.059071	-0.092577
5 	0.020	0.686191	-0.059334	-0.091652
6 	0.025	0.686014	-0.059568	-0.090741
7 	0.030	0.685806	-0.059773	-0.089842
8 	0.035	0.685569	-0.059949	-0.088953
9 	0.040	0.685302	-0.060094	-0.088071
10 	0.045	0.685006	-0.060210	-0.087193
11 	0.050	0.684682	-0.060297	-0.086319
12 	0.055	0.684329	-0.060356	-0.085446
13 	0.060	0.683950	-0.060389	-0.084574
14 	0.065	0.683545	-0.060398	-0.083703
15 	0.070	0.683117	-0.060385	-0.082834
16 	0.075	0.682667	-0.060351	-0.081970
17 	0.080	0.682197	-0.060299	-0.081111
18 	0.085	0.681708	-0.060230	-0.080262
19 	0.090	0.681203	-0.060146	-0.079425
20 	0.095	0.680683	-0.060049	-0.078603
21 	0.100	0.680149	-0.059939	-0.077800
22 	0.105	0.679603	-0.059816	-0.077019
23 	0.110	0.679045	-0.059681	-0.076262
24 	0.115	0.678477	-0.059532	-0.075531
25 	0.120	0.677898	-0.059370	-0.074827
26 	0.125	0.677308	-0.059193	-0.074150
27 	0.130	0.676707	-0.058999	-0.073501
28 	0.135	0.676095	-0.058787	-0.072876
29 	0.140	0.675470	-0.058554	-0.072275
30 	0.145	0.674832	-0.058298	-0.071695
31 	0.150	0.674180	-0.058019	-0.071131
32 	0.155	0.673514	-0.057714	-0.070581
33 	0.160	0.672833	-0.057382	-0.070040
34 	0.165	0.672137	-0.057022	-0.069505
35 	0.170	0.671428	-0.056635	-0.068972
36 	0.175	0.670705	-0.056220	-0.068438
37 	0.180	0.669970	-0.055778	-0.067901
38 	0.185	0.669226	-0.055310	-0.067358
39 	0.190	0.668475	-0.054819	-0.066809
40 	0.195	0.667720	-0.054307	-0.066254
41 	0.200	0.666964	-0.053775	-0.065693
42 	0.205	0.666213	-0.053228	-0.065128
43 	0.210	0.665469	-0.052667	-0.064560
44 	0.215	0.664737	-0.052097	-0.063991
45 	0.220	0.664021	-0.051518	-0.063424
46 	0.225	0.663325	-0.050935	-0.062862
47 	0.230	0.662653	-0.050348	-0.062306
48 	0.235	0.662008	-0.049761	-0.061758
49 	0.240	0.661391	-0.049172	-0.061219
50 	0.245	0.660805	-0.048585	-0.060691
51 	0.250	0.660250	-0.047997	-0.060172
52 	0.255	0.659726	-0.047410	-0.059662
53 	0.260	0.659232	-0.046822	-0.059157
54 	0.265	0.658767	-0.046232	-0.058656
55 	0.270	0.658328	-0.045639	-0.058155
56 	0.275	0.657911	-0.045042	-0.057650
57 	0.280	0.657515	-0.044439	-0.057136
58 	0.285	0.657135	-0.043829	-0.056607
59 	0.290	0.656767	-0.043211	-0.056061
60 	0.295	0.656410	-0.042584	-0.055492
61 	0.300	0.656061	-0.041948	-0.054896
62 	0.305	0.655717	-0.041302	-0.054269
63 	0.310	0.655379	-0.040647	-0.053610
64 	0.315	0.655046	-0.039984	-0.052916
65 	0.320	0.654720	-0.039313	-0.052185
66 	0.325	0.654403	-0.038634	-0.051418
67 	0.330	0.654100	-0.037950	-0.050616
68 	0.335	0.653814	-0.037261	-0.049778
69 	0.340	0.653551	-0.036567	-0.048907
70 	0.345	0.653317	-0.035869	-0.048003
71 	0.350	0.653117	-0.035166	-0.047069
72 	0.355	0.652957	-0.034459	-0.046106
73 	0.360	0.652843	-0.033747	-0.045114
74 	0.365	0.652779	-0.033027	-0.044094
75 	0.370	0.652769	-0.032299	-0.043045
76 	0.375	0.652816	-0.031560	-0.041964
77 	0.380	0.652920	-0.030808	-0.040851
78 	0.385	0.653082	-0.030041	-0.039701
79 	0.390	0.653299	-0.029256	-0.038510
80 	0.395	0.653570	-0.028453	-0.037272
81 	0.400	0.653890	-0.027629	-0.035984
82 	0.405	0.654256	-0.026785	-0.034639
83 	0.410	0.654664	-0.025921	-0.033232
84 	0.415	0.655109	-0.025039	-0.031759
85 	0.420	0.655589	-0.024142	-0.030216
86 	0.425	0.656102	-0.023235	-0.028600
87 	0.430	0.656651	-0.022321	-0.026911
88 	0.435	0.657238	-0.021410	-0.025150
89 	0.440	0.657870	-0.020507	-0.023321
90 	0.445	0.658558	-0.019623	-0.021431
91 	0.450	0.659315	-0.018767	-0.019486
92 	0.455	0.660159	-0.017950	-0.017499
93 	0.460	0.661111	-0.017181	-0.015484
94 	0.465	0.662194	-0.016472	-0.013456
95 	0.470	0.663436	-0.015833	-0.011433
96 	0.475	0.664866	-0.015272	-0.009434
97 	0.480	0.666514	-0.014798	-0.007481
